序号,网站简称,网站URL,ToS URL,是否允许AI使用,AI判断依据原句（ToS原文）,是否禁止网络爬虫,爬虫判断依据原句（ToS原文）,是否允许内容使用,内容使用判断依据原句（ToS原文）,是否允许商业使用,商业使用判断依据原句（ToS原文）,文章所有权是否存在额外法律问题,所有权判断依据原句（ToS原文）
1,International Organization (Cambridge),https://www.cambridge.org/core/journals/international-organization,https://www.cambridge.org/legal/website-terms-of-use,部分允许（仅限教育用途使用其 AI Tool 输出；禁止自动/程序化提取；不得用于训练竞争模型）,"You may use any Content created by the AI Tool in an educational context, provided that: The Content is clearly attributed to you or your educational institution... | Do not: Automatically or programmatically extract data or Output. | Use Output to develop models that compete with our AI Tool.",明确禁止,'Scrape' or store content from the Site on a server or other storage device or create an electronic database by downloading and storing the Site's content.,限制使用,"Remove, change or modify the Site or its content (other than when you are posting user generated content).",粘贴文本未直接涉及（节选片段不完整）,（所粘贴 ToS 内容中未找到关于商业使用的明文条款）,提及内容须为用户自有或获得授权,"Input any materials or content unless you own it, or you have the necessary permission from the owner, and ensure that doing so does not infringe anyone else's rights."
2,RIPE (Taylor & Francis / Informa),https://www.tandfonline.com/journals/rrip20,https://www.tandfonline.com/terms-and-conditions,有条件允许（订阅用户/机构可在非商业基础上做 TDM；商业 TDM 须先获报价）,"If you or your institution subscribes to content from Taylor & Francis you can carry out TDM activities on this content, as well as open access content, without any additional charge, provided this is on a non-commercial basis. | If you intend to carry out TDM on a commercial basis, you should contact us at the address below to discuss your request and obtain a quote.",明确禁止,"This license does not include any derivative use of the Site or the Materials, any collection and use of any product listings, descriptions, or prices; any downloading or copying of account information for the benefit of another merchant; or any use of data-mining, robots, or similar data-gathering and extraction tools.",有限/可撤销,"We grant you a limited and revocable license to access and make personal use (including permission to print off one copy, and to download extracts) of any page containing Free Materials for your personal reference... You must not... (iii) systematically download and store complete issues or volumes of any one journal.",明确禁止（须先获书面许可）,You must not use any part of the Free Materials for commercial purposes without first obtaining a license in writing to do so from us. | Requests for commercial reuse should be directed to the rightsholder.,明确声明 IP 归属；OA 文章按 CC 许可；第三方内容另需授权,"We are the owner or the licensee of all copyright, trademarks, design rights, database rights, confidential information, or any other intellectual property rights... | The Materials are protected by copyright and other intellectual property laws and treaties around the world. All such rights are reserved. | this permission does not cover any third-party copyrighted work which may appear in the work requested."
3,International Security (MIT Press),https://direct.mit.edu/isec,https://mitpress.mit.edu/terms-use/,未明确（但禁止任何自动化访问 → AI 数据采集间接受限）,"Access or search or attempt to access or search the MITP Sites by any means (automated or otherwise) other than through our currently available, published interfaces provided by MIT;",明确禁止,"Access or search or attempt to access or search the MITP Sites by any means (automated or otherwise) other than through our currently available, published interfaces provided by MIT;",仅个人非衍生使用,"Users may not modify, remove, delete, augment, add to, publish, transmit, participate in the transfer or sale of, create derivative works from, or in any way exploit any of the Website Content, in whole or in part, except as expressly permitted by the MIT Press or otherwise stated herein. If no specific restrictions are displayed, Users may make copies of select portions of the Website Content, provided that the copies are made only for User's personal use...",明确禁止（OA 默认 CC BY-NC-ND）,"Users may not... participate in the transfer or sale of... or in any way exploit any of the Website Content... | Each work included in the Open Access Content will be published under a Creative Commons CC BY-NC-ND license, unless otherwise noted on the particular work.",明确声明；OA 第三方版权 CC 许可不保证有效,"All Website Content is copyrighted where applicable as a collective work under the U.S. copyright laws, and MIT owns a copyright in the selection, coordination, arrangement, and enhancement of such Website Content. | Users acknowledge that a Creative Commons license of any type may not necessarily be effective as to third-party, copyright-protected content reproduced in the work that is a part of the Open Access Content..."
4,Journal of Global Security Studies (Oxford University Press),https://academic.oup.com/jogss,https://academic.oup.com/pages/legal-notice,未明确（粘贴 ToS 未提及 AI/TDM；但禁止系统性批量复制 → 间接限制）,systematically make printed or electronic copies of multiple extracts of Restricted Content for any purpose except as permitted by applicable law;,未明确（无 robots/scraping 明文，但系统性复制被禁）,systematically make printed or electronic copies of multiple extracts of Restricted Content for any purpose except as permitted by applicable law;,个人/研究/教学有限使用,"Under the terms of access to Restricted Content accepted by a subscriber... you are permitted for your own personal use or for the purposes of research, teaching, and private study to: ... | You may, without charge, access, view, reproduce or store copies of Free-to-View Content but only for your personal use.",明确禁止,use any Restricted Content for any commercial use. | use all or any part of the Free-to-View Content for any commercial use.,明确声明禁止移除版权声明,remove or alter the copyright notices or other means of identification or disclaimers as they appear on the Restricted Content;
5,Big Data & Society (Sage),https://journals.sagepub.com/home/bds,https://www.sagepub.com/tdm-ai-policy,有条件允许（非商业 TDM 免许可；任何 AI/生成式 AI 用途均需 Sage 授权）,You do not need a license to undertake non-commercial TDM of any content you have lawful access to or of Sage's website. | To use Sage's website and content for any AI uses including generative AI you will need lawful access to the content you wish to use as well as a license from Sage.,未明确（条款专注 TDM/AI 许可，未提及 robots/scraping）,（所粘贴 ToS 内容专注 TDM/AI 政策，未直接涉及 scraping 明文条款）,需写许可,"Sage content, including its website content, is copyright protected and requires prior written permission from Sage in each instance for its use, unless otherwise stated.",明确禁止（商业 TDM 需 Sage 许可）,"Use of Sage's website and content for commercial TDM requires a license from Sage, even if you already have lawful access to the content.",明确：内容受版权保护需许可；商业/AI 用途均需 Sage 授权,"Sage content, including its website content, is copyright protected and requires prior written permission from Sage in each instance for its use, unless otherwise stated."
6,AER (American Economic Association),https://www.aeaweb.org/journals/aer,https://www.aeaweb.org/terms-of-service/site,未明确（粘贴 ToS 未直接提及 AI/TDM；但禁止自动化数据收集）,"You will not collect Content, including but not limited to the names, physical address, e-mail address, or any other contact information for any other members of AEA or users of the Site ('Contact Information'), through any automated means, including but not limited to, harvesting bots, robots, spiders, or scraping programs;",明确禁止（联系信息）；其他 Content 隐含限制,"You will not collect Content... through any automated means, including but not limited to, harvesting bots, robots, spiders, or scraping programs;",个人/专业使用,Licenses SUMMARY: You may use this Site for Your personal or professional use.,粘贴文本未直接涉及一般商业使用（仅就联系信息商业用途有限制）,（所粘贴 ToS 中未发现关于内容整体商业使用的明文条款）,明确尊重并执行 DMCA 流程,AEA respects other's intellectual property and proprietary rights. | Notice of and Procedure for Copyright Infringement
7,JPE (Journal of Political Economy / UChicago Press),https://www.journals.uchicago.edu/journals/jpe,https://www.journals.uchicago.edu/t-and-c,有条件允许（学术研究/教育用途 TDM 允许；自动化软件或大量下载须事先获 Press 批准）,"Text and data mining: Authorized Users may use the Content to perform and engage in text and/or data mining for academic research, scholarship, and other educational purposes... | If the text and/or data mining activity requires use of automated software or the downloading, printing, or storage of a substantial portion of the Content, the Authorized User must apply for approval from the Press prior to any such activity.",未明确禁止 robots，但批量下载/自动化须事先批准,"If the text and/or data mining activity requires use of automated software or the downloading, printing, or storage of a substantial portion of the Content, the Authorized User must apply for approval from the Press prior to any such activity.",授权用户有限使用,"Any Authorized User may search, view, download, copy, and save Content as set forth below.",明确禁止（含广告/营销/出售/许可）,"Distribution of the Content for advertising or other marketing purposes. | Exploitation of the Content for commercial gain, including but not limited to the licensing or sale of Content.",明确（DMCA + 版权法适用）,Copyright Act (or equivalent national copyright legislation for non-U.S....) | Digital Millennium Copyright Act by responding to notices of alleged infringement.
8,Journal of Finance (Wiley),https://onlinelibrary.wiley.com/journal/15406261,https://onlinelibrary.wiley.com/terms-of-use,未明确（此页未直接陈述 AI/TDM；Wiley 另一 ToS 有明文，见 SMJ 行）,（此 ToS 页未直接提及 AI/TDM；Wiley 在其 terms-and-conditions 页中明文保留 TDM 权利——见 SMJ 行）,未明确,（所粘贴 ToS 未直接提及 robots/scraping）,个人非商业有限使用,"Wiley supports a reasonable amount of sharing of journal content by authors and authorized users ('Users') for personal, non-commercial use.",明确禁止（除 OA 外不得复制、转售、储存于检索系统）,"Except as provided in Section 1 or with respect to material published on an open access basis, Users may not copy, distribute, transmit or otherwise reproduce, sell or resell material from journals published by Wiley; store such material in any form or medium in a retrieval system or institutional or other repository...",明确：禁止移除/修改版权声明；不延及第三方版权材料,"Users agree not to remove, obscure or modify any copyright or proprietary notices, author attribution or any disclaimer as they appear in the journal content or override any security feature or exclusionary protocol. | Please note that these rights do not extend to the use of material, images or figures that are separately listed as the copyright of a third party."
9,SMJ (Strategic Management Journal / Wiley terms-and-conditions),https://onlinelibrary.wiley.com/journal/10970266,https://onlinelibrary.wiley.com/terms-and-conditions,明确禁止（Wiley 保留 TDM 权利；非商业 TDM 须经 Wiley 明示许可+许可协议）,"Wiley reserves all rights to make reproductions and extractions for text and data mining. | By agreeing to these Terms of Use, you acknowledge and agree to Wiley's reservation of text and data mining rights. | If expressly permitted by Wiley under a relevant License or by statutory rights under applicable legislation, users who wish to engage in text and data mining of the Electronic Products for non-commercial, scholarly research purposes may do so only by using Wiley Online Library and consenting to an appropriate TDM license.",明确禁止,"Use any scraper, crawler, spider, robot or other automated means of any kind to access or copy this site, Wiley Online Library, the Electronic Products, or any material included therein, deep-link to any feature or content...",授权用户有限使用（禁止下载整期）,"download and/or store an entire issue of an Electronic Product or its equivalent; | copy, distribute, transmit or otherwise reproduce, sell or resell material from Electronic Product(s);",明确禁止,"or transmit such material, directly or indirectly, for use in any paid service such as document delivery or list serve, or for use by any information brokerage or for systematic distribution, whether or not for commercial or non-profit use or for a fee or free of charge.",明确（Wiley 明文保留 TDM 权；许可协议另行约束）,Wiley reserves all rights to make reproductions and extractions for text and data mining.
10,ASQ (via JSTOR),https://www.jstor.org/journal/admisciequar,https://about.jstor.org/terms/,明确禁止（除 Permitted Uses 外不得用于训练 LLM 或生成式 AI）,"except as explicitly stated in the Permitted Uses stated above, use Content to train large language models or other generative AI technologies; | use JSTOR Collection Management Software, JSTOR AI Features (defined in Section 7.d below), or other JSTOR Services to create or offer similar services and features;",明确禁止,"undertake any activity that automatically downloads or exports Content, including activities involving web scraping, web harvesting, web data extraction, or other methods used to automatically extract data from websites;",限制（部分 Early Journal Content 非商业可用）,"You are free to copy, use, and redistribute the Early Journal Content in part or in whole for non-commercial purposes. | modify, obscure, or remove any copyright notice or other attribution included in the Content;",明确禁止,"use or authorize the use of the Services, JSTOR Collection Management Software, or any Content for commercial purposes or gains, such as selling access to the Services, JSTOR Services, or any part of the Content. | Artstor Content may not be used in commercially distributed materials (such as works published by a scholarly or commercial press);",明确（Fair Use Section 107；禁止替代直接访问）,use in accordance with the principles of fair use under Section 107 of the United States Copyright Act except as follows: | make available JSTOR Licensed Content or Artstor Collection Content in a manner that would substitute for direct access to such content on the JSTOR Platform;
